"# NOTE: This is the detailed row-level project tracker -- one row per BRD feature/task, spanning Phase 1 through Phase 4, cross-referenced against actual code/infra/docs (not a guess). docs/STATUS.md remains the separate, quick bullet-only snapshot of what's true right now for each layer -- the two documents serve different purposes and should not be merged. BRD Version confirmed against: v3.9 (docs/BRD_v39_Restaurant_Platform.docx)."
Feature/Task,BRD Section,BRD Version,Phase,Layer/Owner,Status,PR/Reference,Notes
Dev utility: delete/reuse a test user's email + list registered users,N/A -- infra/process (QA/dev tooling),v3.6,1,Backend / DevOps,Done,N/A,"Added per direct user instruction 2026-09-17: reusing the same email across manual sign-up tests was leaving stale DB rows behind. New backend/app/scripts/delete_user_data.py (+ delete_user_data management command in management.py, tested in tests/integration/test_delete_user_data.py) removes every local row keyed to a Cognito sub (location_manager, claim_request, user_follow, data_deletion_request, audit_log, owner_account) -- NOT the real CCPA deletion flow (privacy_service), this is an unreviewed, immediate, dev-only cleanup; never destroys a claimed brand, only unclaims it (restaurant_brand.owner_id ON DELETE SET NULL). New top-level scripts/ folder (distinct from backend/app/scripts/, which runs inside the Lambda): scripts/delete_test_user.py (human-run, invokes the management command then admin-delete-user on Cognito) and scripts/list_users.py (lists every Cognito email + pool group membership). Not yet deployed -- needs this PR merged and a backend redeploy before delete_test_user.py's Lambda invoke will recognize the command."
Show/hide password toggle (eye icon) on all password fields,3.1 User Types (auth); WCAG 2.1 AA,v3.6,1,Frontend,Done,#86,"New shared frontend/src/components/ui/PasswordInput.tsx (EyeIcon/EyeOffIcon added to ui/icons.tsx) wraps the existing input markup and drops into all 5 fields (LoginForm, SignUpForm x2, ResetPasswordForm x2) -- purely additive, zero duplicated toggle logic, existing validation/error wiring untouched. aria-label flips ""Show password""/""Hide password"" (verified via accessibility tree), type=""button"" so it never submits the form, 44x44px touch target held at 375px. typecheck/lint/build clean; e2e coverage added to tests/e2e/test_auth_signup_reset.spec.ts."
Cognito verification email: proper subject + fuller body copy,3.1 User Types (auth); 8b. Notification Channels,v3.6,1,Infra,Deferred,N/A,"infra/modules/cognito/main.tf has no verification_message_template block at all -- AWS's VerificationMessageTemplateType only allows EmailMessage/EmailSubject customization when email_sending_account=DEVELOPER, which requires SES (confirmed against AWS's own API reference). DECIDED 2026-09-17 (human): stay on Cognito's stock COGNITO_DEFAULT template through Phase 1 -- revisit together with the already-tracked SES production-access row when the platform is closer to going to production, not before. No Terraform written; nothing further to do here until that SES work starts."
Serialize paid_until/is_active on location endpoints + let owner see own deactivated locations,3.3 Free vs Paid Tier,v3.6,1,Backend,Done,#92,"Fixed 2026-09-17: paid_until and is_active added to LocationOut (GET /locations/{id}) and LocationSummaryOut (GET /restaurants/{id}/locations) -- both real restaurant_location columns, previously not serialized. GET /restaurants/{id}/locations (the only locations-list endpoint that exists -- there is no separate owner-scoped one) now takes a new optional-auth dependency (get_current_user_optional, app/dependencies/auth.py) and drops the is_active filter only when the caller is the brand's owning owner or an admin (admin parity is a judgment call, flagged on the PR, matching the codebase's existing admin-parity pattern) -- every other caller (anonymous, a different owner, a manager, a registered_user) still only sees active locations, same as before. GET /locations/{id} itself still returns a location by id regardless of is_active, unchanged (pre-existing, separate from this row's scope). No audit_log entry -- read-path serialization + filter change only, not a new write. docs/API_CONTRACTS.md updated; tests in tests/integration/test_location_tier_status_serialization.py."
Owner account page: phone pre-fill + restaurant list,3.1 User Types (Restaurant Owner),v3.6,1,Backend / Frontend,Done,N/A,"Added per direct user instruction 2026-09-17. Backend: GET /auth/me's OwnerAccountOut now returns phone (real gap -- PATCH /auth/me accepted it from the start, but GET never returned it back, so /account's edit form always started blank instead of pre-filling an owner's already-saved phone). Frontend: new OwnerRestaurantsList.tsx on /account (owner role only) -- a compact read-only summary (name, location count, link into /portal/dashboard for full management), not a duplicate of the dashboard's own rich table."
Cognito VPC interface endpoint (fix: every email-lookup code path was unreachable from the Lambda),N/A -- infra/process (production bug),v3.6,1,Infra,Done,N/A,"Found live 2026-09-18 while testing scripts/delete_test_user.py: 3 consecutive 30s Lambda timeouts, zero app-level logs, while GET /cuisine-tags (no Cognito call) succeeded normally. Root cause: cognito-idp:ListUsers IAM permission existed since PR #10, but no NAT Gateway and no cognito-idp VPC endpoint ever existed -- find_sub_by_email() (manager assignment, seed_dev_data, bulk_import_restaurants, delete_user_data) has been unreachable from inside the Lambda in every real deployment, invisible because every test mocks the Cognito call. Fix: aws_vpc_endpoint.cognito_idp added to infra/modules/networking/main.tf, same pattern as the existing secretsmanager/logs endpoints (~$7.30/mo per AZ). Full writeup: docs/DECISIONS.md ""Missing Cognito VPC endpoint"". terraform validate passed in an isolated scratch copy; a human still needs to run terraform apply for this to take effect."
"Fix: session used wrong Cognito token type, blocking every real owner from provisioning",3.1 User Types (auth),v3.6,1,Frontend,Done,N/A,"SEVERE, found live 2026-09-18: LoginForm.tsx/sessionKeepAlive.ts captured the Cognito ACCESS token as the session credential, but access tokens carry no email claim -- auth_service.py's lazy owner_account provisioning needs one, so every real owner hit ""An email claim is required to provision an owner account"" on first login, platform-wide, since deployment. Fixed by switching to the ID token (same call sites, session.ts's CognitoJwtVerifier tokenUse updated to match) -- no Cognito reconfiguration needed, backend already accepted either token_use. Full writeup: docs/DECISIONS.md ""Frontend used the wrong Cognito token type..."". Also separately found+fixed same day: real Aurora DB was 3 Alembic migrations behind (photo_thumbnail_key, data_deletion_request, restaurant_brand_website) -- alembic_upgrade management command run to bring it current."
"Missing site header/account dropdown on 5 authenticated pages (account, portal/dashboard, portal/locations/[id], admin/claims, admin/listings)",3.1 User Types (auth),v3.6,1,Frontend,Done,#98,"Found live 2026-09-18 from a user-supplied full-window screenshot showing zero header on /account -- confirmed real, not a cropped screenshot. TopBar.tsx (session-aware since PR #88) was simply never imported/rendered on these 5 pages, each written independently before PR #88 existed. Fixed by adding <TopBar /> to all 5 (both render branches on portal/dashboard's manager-placeholder path and portal/locations/[id]'s not-found/no-access path too) -- 12 insertions across 5 files, no other changes."
"""Add Your Restaurant"" CTA fix + owner create-brand form (POST /restaurants)",3.1 User Types (Restaurant Owner); 3.2 Ownership Model Rules,v3.6,1,Frontend / Backend,Done,"#99, #230","Found live 2026-09-18: the header's ""Add Your Restaurant"" CTA (TopBarShell.tsx) unconditionally linked to /login, including for an already-signed-in owner -- clicking it while signed in bounced them back to sign-in. Root cause was two-fold: (1) the CTA never branched on session state, and (2) there was actually nowhere useful to send a signed-in owner -- POST /restaurants (create a brand) had a working API client function, Zod schema, and backend endpoint, but no frontend page/form had ever been built to call it, despite the dashboard's own empty-state copy promising ""create a new brand, to get started."" Fixed: new owner-only /portal/brands/new page + CreateBrandForm.tsx (name/description/cuisine-tag picker); TopBarShell's CTA now goes to /login when signed out (unchanged), /portal/brands/new for a signed-in owner, and is hidden entirely for a signed-in manager/admin/registered_user (POST /restaurants is owner-only, so it never applied to them). Also fixed a related contract gap found while building the tag picker: GET /cuisine-tags returned no id, but POST/PATCH /restaurants' cuisine_tag_ids needs real numeric ids -- added id to CuisineTagOut (backend/app/schemas/cuisine.py). FLAGGED, not built here: there's still no ""add a location to a brand"" form anywhere in the portal -- a newly created brand has zero locations and BrandCard's own ""No locations yet"" empty state is the only thing covering that gap today. UPDATED 2026-09-24 (#230): cuisine_tag_ids is no longer accepted on POST/PATCH /restaurants (tags are per location; unknown keys are ignored so old clients do not 422); Add restaurant collects tags for its first location via the shared CuisineTagPicker."
"Fix: cached async DB engine reused across event loops on a warm management-command container",N/A -- infra/process (production bug),v3.6,1,Backend,Done,#100,"Found live 2026-09-18 running the real 26-restaurant Irving CSV import: a 2-row test batch succeeded, then the full 26-row batch errored on row 0 only (""Task ... got Future ... attached to a different loop"") while the other 25 rows succeeded normally in the same invocation -- reproduced twice, always on a batch's first row. Root cause: app/db/session.py's `_engine`/`_session_factory` are module-level globals, cached across warm Lambda invocations by design (cold-start-only, correct for the FastAPI/Mangum HTTP path, which keeps one event loop alive for the container's life) -- but every management command (app/scripts/management.py) wraps its DB work in its own `asyncio.run(...)`, a fresh event loop every invocation. A warm container reusing the cached engine across two such invocations hands the second one an engine whose asyncpg connection pool is still bound to the first invocation's now-closed loop; the first DB operation on the new loop fails this way, later operations succeed once the pool reconnects under the current loop. Fixed: new `dispose_engine()` (app/db/session.py) disposes the engine and resets both globals -- called from inside the SAME event loop the engine was used under (a `finally` at the end of each management command's own DB-touching coroutine), never from a later/different loop, which would hit the identical bug during disposal itself. All four DB-touching management commands (seed_dev_data, bulk_import_restaurants JSON + CSV paths, delete_user_data) now do this; alembic_upgrade is unaffected -- it uses a separate, non-cached engine. Unit tests: tests/unit/test_db_session_secrets.py. No data was lost from the reproduction -- the ""failed"" row (Namaste Grill & Sports Bar) had already been created by the earlier 2-row test; all 26 Irving restaurants ended up seeded across the two runs."
"Fix: random 503s on the owner dashboard from a DB connection-pool storm + location editor missing the restaurant name",N/A -- infra/process (production bug),v3.6,1,Backend / Frontend,Done,#101,"Found live 2026-09-18 right after the Irving import, browsing as owner1 (23 restaurants): a DIFFERENT restaurant's location fetch failed with a bare ""Request failed with status 503"" on every dashboard reload, rotating randomly across restaurants -- ruled out per-row data issues (bad geocoding, timezone) by code review before finding the real cause. Root cause: portal/dashboard/page.tsx fetches every brand's locations in parallel (Promise.all across all ~23 restaurants) -- a burst of ~23 concurrent Lambda execution environments, each with its OWN DB engine/pool (module-level globals are per-container). At the prior pool_size=5/max_overflow=5, that's up to 230 simultaneous asyncpg connections against Aurora at once -- far past what a just-resumed/low-ACU Serverless v2 instance allows, so whichever requests lost that race got a bare 503 with no app-level error (connection never even reached FastAPI). Confirmed no code in app/ uses asyncio.gather/TaskGroup -- every request uses exactly one DB session, sequentially, for its whole lifetime, so a 10-connection-per-container pool was never buying anything, only multiplying the worst-case connection count by however many containers a burst spins up. Fixed: app/db/session.py's pool_size/max_overflow shrunk to 1/2 (3 connections per container, down from 10) -- not an Aurora capacity change, min_capacity=0 untouched. At realistic production scale (3-4 restaurants per owner, ~8-10 max, per direct user confirmation) this exact burst size won't recur often, but the fix is free and closes the same failure mode at any concentration of double-digit locations under one owner. Separately, also fixed in this PR: GET/POST/PATCH /locations/{id} never returned the parent brand's name (only brand_id) -- the location editor page (/portal/locations/{id}) fell back to the raw street address whenever location_name (an optional per-location label) was unset, which is every CSV-imported restaurant; user reported seeing an address instead of a restaurant name. Added brand_name to LocationOut (backend/app/schemas/location.py, app/services/location_service.py). Tests: tests/integration/test_location_brand_name_serialization.py; connection-pool fix has no direct test (would need a real concurrent-Lambda-burst integration harness, out of scope here) -- verified live instead."
"Follow-up fix: dashboard/admin listings still fired the full parallel fan-out after PR #101's pool-size fix -- 503s persisted",N/A -- infra/process (production bug),v3.6,1,Frontend,Done,#102,"PR #101's smaller per-container DB pool (1/2 vs 5/5) reduced but did not eliminate the 503s -- confirmed live: still failing, rotating restaurants, right after that fix deployed. Root cause was only half fixed: portal/dashboard/page.tsx (and admin/listings/page.tsx, same pattern) still fetch every brand's locations with a plain Promise.all across ALL restaurants -- for owner1's 23, that's still ~23 concurrent Lambda execution environments spun up at once regardless of how small each one's own pool is, and 23 x 3 connections can still exceed Aurora's real ceiling at low ACU. Fixed at the actual source: new frontend/src/lib/concurrency.ts mapWithConcurrency() caps both pages to 5 concurrent brand fetches at a time (DASHBOARD_FETCH_CONCURRENCY / LISTINGS_FETCH_CONCURRENCY) -- bounds the burst directly instead of just shrinking what each burst member asks for. At realistic production scale (3-4 restaurants/owner, ~8-10 max) this keeps dashboard loads essentially fully parallel (1-2 waves); only an outlier account like this test data's 23 restaurants gets serialized into more waves. No test added -- same reasoning as PR #101's pool-size fix, this needs a real concurrent-burst harness to verify automatically; verified live instead. Also folded into this PR (unrelated, small, same session): removed the ""Verified restaurants near you"" pill badge from the homepage Hero and changed ""verified restaurants near you"" to ""discover restaurants near you"" in the hero subhead, per direct user instruction."
"Search result card: cover photo + full address/phone with clickable Google Maps link",3.1 (search results); 5.3 Technical Architecture Decisions > S3 Image Upload Pipeline,v3.6,1,Frontend / Backend,Done,#103,"Direct user instruction 2026-09-18, prompted by seeing the always-gradient card: RestaurantCard.tsx (shared by the homepage ""Popular near you"" grid and /search results) never rendered `cover_photo_url` at all -- the gradient it shows is meant to be the no-photo fallback (RestaurantHero.tsx, the detail page's equivalent, already does this correctly), not the only state. Fixed: now renders `cover_photo_thumbnail_url` (falling back to `cover_photo_url`) when present -- `cover_photo_thumbnail_url` was already serialized by the backend `SearchResultOut` schema specifically for this card-listing use case but had no frontend consumer until now. No separate ""logo"" concept exists in the data model -- owners already upload this exact cover photo from /portal/locations/{id}'s Photos section (existing S3 presigned-upload + resize Lambda pipeline, PR #21/#63). Also added: full street address with a clickable Google Maps link (`google.com/maps/search/?api=1&query=...`, no API key needed) -- GET /search's `nearest_location` previously only had city/state, not address_line1/postal_code, so this needed a real backend contract change (NearestLocationOut, search_service.py's `_CandidateRow` + SQL select). The address link is a real, separate `<a target=""_blank"">`, not nested inside the card's existing `<Link>` to the restaurant detail page -- nesting an `<a>` inside another `<a>` is invalid HTML; the card was restructured (border/shadow moved to an outer wrapper div) so the Link and the address link are siblings instead. Follow-up same day, per direct user instruction (""I will wait to merge with this change""): added `phone` to the same NearestLocationOut/_CandidateRow contract, rendered as a `tel:` link on the card (nullable -- restaurant_location.phone itself is nullable, hidden entirely when null rather than shown blank). Second follow-up same day: the no-photo gradient had no icon on it at all -- added the existing `StoreIcon` (already used for the same ""this is a restaurant"" meaning in portal/BrandCard.tsx) centered on the gradient, per direct user suggestion of a simple default glyph rather than a blank color field. No new asset. Third follow-up same day, per direct user request for something ""fancier"" that fills more of the tile: swapped `StoreIcon` for `SwarasaMark` (the app's own fork/knife/spoon brand mark, already used in the site header) at large scale (`inset-4`, `h-full w-full`, low-opacity) instead of a small centered glyph -- reuses an existing on-brand asset rather than commissioning/inventing new artwork. Tests: tests/unit/test_search_service_logic.py. FLAGGED, found while testing this (not fixed here, separate/pre-existing): GET /search only returns locations with a non-null `geom` -- 15 of the 26 Irving-imported restaurants have no geocoded coordinates (failed Nominatim match during import) and are silently invisible in every search result, homepage included, even though they exist and are editable in the owner portal."
"Homepage/search default sort: paid-tier (is_paid=true) restaurants take precedence (""promoted placement"")",3.3 Free vs Paid Tier (promoted placement); 5.3 Search Defaults & Geo Behaviour,v3.6,1,Backend,Done,#110,"Shipped 2026-09-22 (verified in search_service.py sort key): sort is (not is_paid, not is_verified, distance, name); the 'Featured' badge is the required promoted-placement label. Original backlog note: added per direct user instruction 2026-09-18."
"Homepage: ""Deals near you"" section",5.2 Key Data Entities (deal); 6. Phase 2 Scope,v3.6,2,Frontend,Not Started,N/A,"Added to backlog per direct user instruction 2026-09-18 -- not built yet, and can't be until the Deals engine backend row above (this file, ""Deals engine (create, schedule, auto-expire via EventBridge)"") lands -- there is no deal data anywhere yet to feed a homepage section, and frontend/CLAUDE.md explicitly lists ""Deals feed, deal cards"" under Phase 1 ""Do NOT Build Yet."" Depends on that row plus a GET /deals (or similar feed) endpoint neither exists yet."
"Fine-grained tag filter (regional/dietary/type/signature/dining_time, multi-select) on homepage and /search",3.3 (cuisine/dietary tags); Appendix A,v3.6,1,Frontend,Done,"#112, #135","Shipped: multi-select tag filter grouped by category on /search and homepage quick chips (#112), later moved into the Filters dropdown + chips (#135). Backend already accepted cuisine[]/dietary[]/type[] facets."
"Fix: restaurant detail page crashed (""Something went wrong"") for every restaurant without a description",N/A -- infra/process (production bug),v3.6,1,Frontend,Done,#107,"Found 2026-09-18 -- reproduced locally against the real dev API, which showed the real stack trace the production Lambda logs never could (the failure is in the Next.js SSR layer, not the backend, which is why CloudWatch showed zero errors and why it was wrongly attributed to the earlier 503 connection-pool issue): generateMetadata in app/restaurant/[slug]/page.tsx called restaurant.description.slice(0, 150), and description is NULL for every CSV-imported restaurant (that import has no description column). Root cause was a wrong frontend type: RestaurantBrand.description was declared non-nullable string although restaurant_brand.description has always been nullable. Widening the type to string | null made tsc surface a second real bug of the same class (LocationInfoForm would have put null into the owner's phone input). Same wrong-type bug fixed for phone on LocationSummary/LocationDetail/CreateLocationInput/ManagedLocation (backend schemas are all `str | None`). Metadata now falls back to a generic line; hero hides an empty description/phone row instead of rendering a bare icon; phone is a tel: link. Also in this PR, per direct user request: 'Dallas-Fort Worth' is no longer hardcoded across layout/home/footer/about/search -- new lib/constants/city.ts DEFAULT_CITY_LABEL is the single source, and /search shows the visitor's own `location` query param (the one real 'chosen city' signal that exists in Phase 1) when present, falling back to the default. No full city picker/geolocation built -- there is no geocoding endpoint in Phase 1 (see SearchFilterBar.tsx header)."
"Report a problem / suggest an update page (public form: address not found, price not correct, menu is wrong, hours are wrong, other) + admin triage view",3.1 User Types; 8. Claim & Onboarding Flow,v3.6,1,Backend / Frontend,Done,"#113, #166, #168, #211","Shipped: listing_report table (0006), POST /reports (public, honeypot anti-abuse), admin GET/PATCH /reports, /restaurant/[slug]/report form, /admin/reports triage. CCPA coverage for reporter data added in #166/#168. UPDATED 2026-09-24 (#211): new category 'Deal is wrong or outdated' (deal_incorrect, no migration) and a signed-in reporter's email now comes from the verified token instead of the form."
About Us: explain what 'Swarasa' means,2. Objectives,v3.6,1,Frontend,Not Started,N/A,Added per direct user instruction 2026-09-18. Needs the actual meaning/etymology from the user before writing copy -- will not invent a definition.
Top bar: 'For Owners' and 'Sign In' both link to /login -- remove or differentiate,3.1 User Types (auth),v3.6,1,Frontend,Done,"#108, #116",Resolved: #108 pointed 'For Owners' at /signup?role=owner; #116 later removed the 'For Owners' link entirely (Sign In only + Add Your Restaurant).
"Sign-up: social login (Google, Facebook, ...) for diners",3.1 User Types (auth),v3.6,2,Frontend / Infra,Not Started,N/A,"Added per direct user instruction 2026-09-18. Needs Cognito federated identity providers configured in Terraform (Google/Facebook OAuth app credentials created by the human in each provider's console -- secrets go in Secrets Manager, never in code) plus Cognito hosted-UI/Amplify social sign-in wiring in SignUpForm/LoginForm. Federated users must still land in the registered_user group (post-confirmation Lambda from PR #84 needs to handle the federated trigger source). Human step: create OAuth client IDs; Terraform apply is human-run."
Top bar: make sticky + add utility links (e.g. Report an issue) -- UX proposal first,3.1 User Types,v3.6,1,Frontend,Done,"#108, #212, #213","Sticky top bar shipped in #108. The 'utility links (Report an issue)' part became the per-restaurant 'Report a problem' link (#113), not a top-bar link; no separate top-bar utility links were built. UPDATED 2026-09-24: the top bar middle now holds role-aware links (#212) - see the role-aware top bar row; About was then removed from it (#213)."
Default no-photo tile image: coffee-cup illustration instead of the Swarasa mark,3.3 Free vs Paid Tier (photo gallery),v3.6,1,Frontend,Done,#110,Shipped: in-house inline-SVG CoffeeCupIcon replaces the Swarasa watermark on tiles with no cover photo (#110); detail hero + shared component in #117.
Verify a 'food truck' restaurant type/category exists in the cuisine taxonomy,3.3 (cuisine/dietary tags); Appendix A,v3.6,1,Architect,Not Started,N/A,"Added per direct user instruction 2026-09-18. To check against docs/TAXONOMY.md and the seeded cuisine_tag rows; a food truck also raises a model question (mobile location, no fixed address/geom) that may need a product decision."
Stripe checkout + subscription creation (upgrade flow),8b. Billing Flow & Policies > Upgrade Flow,v3.6,2,Backend,Not Started,N/A,N/A
Stripe webhooks (invoice.paid / invoice.payment_failed),8b. Billing Flow & Policies > Real-Time Tier Model,v3.6,2,Backend,Not Started,N/A,backend/CLAUDE.md already has a worked example of the handler shape to build against.
Daily reconciliation Lambda (corrects missed Stripe webhooks),5.3 Technical Architecture Decisions > is_paid() implementation,v3.6,2,Backend / Infra,Not Started,N/A,N/A
"Full menu CRUD (menu_section, menu_item)","5.2 Key Data Entities; 3.3 (""Full menu with prices"" -- free tier)",v3.6,2,Architect / Backend,Done,"#206, #223","Built as the menu engine, same shape as deals (free tier, never is_paid-gated). Migration 0013_menu (menu_section + menu_item; sizes stored as inline JSON, both location_id FKs ON DELETE CASCADE so permanent location delete still works), applied to dev 2026-09-24 via alembic_upgrade. Owner / assigned manager / admin (require_location_write_access, server-side on every write) can add/update/delete/reorder groups and items under /locations/{id}/menu; deleting a group keeps its items ungrouped by default (?delete_items=true removes them); bulk reorder endpoints return 409 menu_out_of_date when stale; every write audit-logged. Item = free-text name + optional description + EITHER one free-text price OR 1-6 size options {label, price} (422 on both/neither). Public read GET /locations/{id}/menu with the same visibility gate as the location. Frontend: Menu section in the location editor (/portal/locations/{id}/menu redirects to it) and public RestaurantMenu with JSON-LD hasMenu. Gap vs the 2026-09-17 scope note: there is no soft activate/deactivate toggle on items (no is_active column); items are removed with delete instead. Owner and assigned manager both have full add/update/delete/reorder. UPDATED 2026-09-24: the no-soft-toggle gap is closed by #223 - items, groups and the whole menu can now be hidden/shown (migration 0015_hide_menu_and_deals); see the hide/show row below. #222 adds a View menu button and Menu jump link on the per-location page."
"Dish photos (paid-gated, tied to menu_item)","3.3 Free vs Paid Tier (""Dish photos"" row)",v3.6,2,Backend,"Done (built, OFF behind menu_item_photos_enabled)",#206,"Built but switched OFF: menu_item_photos_enabled in platform_config (seeded false by 0013_menu). Off => upload-url/attach/remove return 403 menu_photos_disabled, no photo URL is ever returned, editor hides the control. On => presigned POST (JPEG/PNG, 2 MB) under raw/locations/{id}/menu/{uuid}, reusing the existing resize pipeline (no infra change). Gate by is_paid when billing lands (intent recorded in comments/contract only; no is_paid check exists yet). Flip via the set_platform_flag management command."
"Deals engine (create, schedule, auto-expire via EventBridge)",5.2 Key Data Entities (deal); 5.3 Deal & Special Expiry,v3.6,2,Backend,Done,"#185, #187, #188, #190, #217, #223","Reopened by the user 2026-09-23 (payments/billing stay deferred). Backend (#185): deal table (migration 0009_deal), owner/assigned-manager/admin CRUD under /locations/{id}/deals (NOT gated on is_paid -- deals are free-tier, see #186), GET /search?has_deals_today, public has_deal_today boolean, deal content (deals_today) only for registered_user/admin/owning owner/assigned manager, deal_expiry cron flips expired deals with a system audit_log row. Lambda packaged as a container image reusing the API image (#187, applied to dev 2026-09-23). Frontend (#188). Migration applied to dev via alembic_upgrade 2026-09-23 after #190 merged the parallel 0009 heads; deal_expiry invoked returning {""expired"": 0}. UPDATED 2026-09-24: Deal vs Special label is now derived from the end date, not picked (#217); owners/managers/admins can hide/show a deal or all deals of a location (#223, migration 0015)."
Deal alerts to followers (SES email + in-app bell),8b. Notification Channels,v3.6,2,Backend,Not Started,N/A,Depends on both the deals engine and the follow API (see Phase 1 gap above) existing first.
Location manager invite-by-email flow (not-yet-registered user),"8. Claim & Onboarding Flow Edge Cases (""manager gets invite email"")",v3.6,2,Backend,Not Started,N/A,Explicitly out of scope for the Phase 1 manager-assignment endpoint per its own documented judgment call (404s today if no matching Cognito user exists) -- flagged there for exactly this future task.
"Owner analytics dashboard (views, deal clicks, follower count, deal ROI)",3.3 (Analytics dashboard row); 6. Phase 2 Week 6,v3.6,2,Backend / Frontend,Not Started,N/A,N/A
"Promoted listing placement + ad tiles (""Sponsored""/""Ad"" labels)",9. Advertising Policy,v3.6,2,Backend / Frontend,Not Started,N/A,"Must be clearly labeled per BRD 9's Policy Principle -- max 2 promoted results per search page, organic always dominates below."
Admin billing dashboard,6. Phase 2 Week 6,v3.6,2,Frontend,Not Started,N/A,N/A
Custom brand landing page builder,3.3 (Custom brand landing page row),v3.6,2,Frontend,Not Started,N/A,N/A
"Manager portal UI (edit menu/deals/hours/photos, permission-isolated from billing/other locations)",3.2 Ownership Model Rules; 6. Phase 2 Week 4,v3.6,2,Frontend,Done,"#163, #183, #188, #202, #206, #228, #231, #233","Manager console (banner + left menu, #163) links each assigned location to the shared location editor, where an assigned manager can edit details/hours/photos (photo upload fixed in #183), Deals & specials (#188; one-tap Deals button on the manager card since #202) and the Menu (#206), all enforced by the server-side location_manager check. Nothing billing-related is exposed to managers. Status bumped from Not Started after verifying the editor and manager card in the code; no manager-specific menu screen exists (shared editor). UPDATED 2026-09-24: manager Locations I manage rows show ZIP + phone (#228) and a Deals button reflecting live/none/hidden state (#233); mobile audit fixes apply to the shared editor (#231)."
"Natural language search (Claude API query parsing, e.g. ""Andhra lunch buffet near Irving"")",2. Objectives (Secondary); 6. Phase 3 Week 7,v3.6,3,Backend,Not Started,N/A,Go/No-Go target: correctly parses 90%+ of a 100-query test set (BRD 6).
"Map view (Leaflet.js + OpenStreetMap, filter-linked pins)",8b. Map Provider; 6. Phase 3 Week 7,v3.6,3,Frontend,Not Started,N/A,Leaflet + OSM chosen specifically to avoid a Google Maps API key/cost -- frontend/CLAUDE.md already documents the lazy-load-only-client-side pattern to use.
open_now search filter (/search?open_now=true),"5.3 Search Defaults & Geo Behaviour; ""Restaurant hours"" decision",v3.6,3,Backend,Not Started,N/A,Deliberately deferred from Phase 1 per DECISIONS.md -- the per-row open/closed DISPLAY status is already Done; this is only the cross-result search filter.
"Multi-city admin tool + city landing pages (/houston, /chicago)","6. Phase 3 Week 8; Expansion & Scale (""one new city per phase"")",v3.6,3,Backend / Frontend,Not Started,N/A,N/A
"Craving-based tag search (""I want Biryani"")",6. Phase 3 Week 8,v3.6,3,Backend,Not Started,N/A,N/A
Weighted search ranking (paid + verified + recent deals),"5.3 Search Defaults & Geo Behaviour (""Phase 3 introduces weighted ranking"")",v3.6,3,Backend,Not Started,N/A,"Phase 1/2 default sort (verified, then distance, then alphabetical) is already Done and stays in place until this lands."
Voice search (browser SpeechRecognition + text fallback),6. Phase 3 Week 9,v3.6,3,Frontend,Not Started,N/A,N/A
PWA manifest + offline cache,"6. Phase 3 Week 9 Go/No-Go (""PWA installable, Lighthouse PWA score > 90"")",v3.6,3,Frontend,Not Started,N/A,N/A
ElastiCache Redis (geo search query cache),"5. Technical Architecture (Redis row); ""No Redis in Phase 1-2"" decision",v3.6,3,Infra,Not Started,N/A,"Explicitly deferred by design -- is_paid() uses a stored boolean with no cache needed; Redis is scoped narrowly to geo-search caching only, added when Phase 3 traffic justifies it."
AWS RDS Proxy (Lambda-to-Aurora connection pooling),"5. Technical Architecture (RDS Proxy row); ""No RDS Proxy in Phase 1-2"" decision",v3.6,3,Infra,Not Started,N/A,Explicitly deferred by design -- add only once concurrent users exceed roughly 200.
WAF rules,"infra/CLAUDE.md ""Phase 1 -- Do NOT Provision Yet""",v3.6,3,Infra,Not Started,N/A,N/A
"Online ordering redirect links (""Order Now"" -> external URL)",6. Phase 4 Scope; 2. Objectives (Secondary),v3.6,4,Backend / Frontend,Not Started,N/A,"Redirect/link model only, per BRD -- platform explicitly does not process food payments in Phase 4. Depends on the Phase 2 paid tier."
AI recommendations (personalized suggestions from follow/search history),6. Phase 4 Scope,v3.6,4,Backend,Not Started,N/A,Depends on Phase 3 data volume per BRD's own dependency note.
AI deal summarizer (auto-generate deal copy via Claude API),6. Phase 4 Scope,v3.6,4,Backend,Not Started,N/A,Depends on the Phase 2 deals engine existing first.
"Native mobile app (React Native, iOS + Android)",6. Phase 4 Scope,v3.6,4,Frontend,Not Started,N/A,Depends on Phase 3 PWA learnings per BRD's own dependency note.
"Claude Code automation agents (duplicate detection, listing enrichment, data quality monitoring)",6. Phase 4 Scope,v3.6,4,Architect / Orchestrator,Not Started,N/A,"Depends on having real Phase 1/2 data to run against -- and on the Orchestrator itself existing (see Orchestrator row above, currently Not Started)."
"Advanced analytics (cohort analysis, deal ROI calculator, city-level benchmarking)",6. Phase 4 Scope,v3.6,4,Backend / Frontend,Not Started,N/A,Depends on the Phase 2 owner analytics dashboard existing first.
"Multi-language UI toggle (Hindi, Telugu, Tamil)",8b. Language Support; 6. Phase 4 Scope,v3.6,4,Frontend,Not Started,N/A,The Phase 1 i18n hooks (next-i18next) this depends on are Done; the actual toggle UI is Phase 4 scope.
